Iteration,E,nu,RMSE
1,10,0.1,5.60E-08
2,10,0.10975,5.60E-08
3,10,0.1195,5.60E-08
4,10,0.12925,5.60E-08
5,10,0.139,5.60E-08
6,10,0.14875,5.60E-08
7,10,0.1585,5.60E-08
8,10,0.16825,5.60E-08
9,10,0.178,5.60E-08
10,10,0.18775,5.60E-08
11,10,0.1975,5.60E-08
12,10,0.20725,5.60E-08
13,10,0.217,5.60E-08
14,10,0.22675,5.60E-08
15,10,0.2365,5.60E-08
16,10,0.24625,5.60E-08
17,10,0.256,5.60E-08
18,10,0.26575,5.60E-08
19,10,0.2755,5.60E-08
20,10,0.28525,5.60E-08
21,10,0.295,5.60E-08
22,10,0.30475,5.60E-08
23,10,0.3145,5.60E-08
24,10,0.32425,5.60E-08
25,10,0.334,5.60E-08
26,10,0.34375,5.60E-08
27,10,0.3535,5.60E-08
28,10,0.36325,5.60E-08
29,10,0.373,5.60E-08
30,10,0.38275,5.60E-08
31,10,0.3925,5.60E-08
32,10,0.40225,5.60E-08
33,10,0.412,5.60E-08
34,10,0.42175,5.60E-08
35,10,0.4315,5.60E-08
36,10,0.44125,5.60E-08
37,10,0.451,5.60E-08
38,10,0.46075,5.60E-08
39,10,0.4705,5.60E-08
40,10,0.48025,5.60E-08
41,10,0.49,5.60E-08
42,134.75,0.1,5.36E-08
43,134.75,0.10975,5.36E-08
44,134.75,0.1195,5.36E-08
45,134.75,0.12925,5.36E-08
46,134.75,0.139,5.36E-08
47,134.75,0.14875,5.36E-08
48,134.75,0.1585,5.35E-08
49,134.75,0.16825,5.35E-08
50,134.75,0.178,5.35E-08
51,134.75,0.18775,5.35E-08
52,134.75,0.1975,5.35E-08
53,134.75,0.20725,5.35E-08
54,134.75,0.217,5.35E-08
55,134.75,0.22675,5.34E-08
56,134.75,0.2365,5.34E-08
57,134.75,0.24625,5.34E-08
58,134.75,0.256,5.34E-08
59,134.75,0.26575,5.34E-08
60,134.75,0.2755,5.34E-08
61,134.75,0.28525,5.33E-08
62,134.75,0.295,5.33E-08
63,134.75,0.30475,5.33E-08
64,134.75,0.3145,5.33E-08
65,134.75,0.32425,5.33E-08
66,134.75,0.334,5.32E-08
67,134.75,0.34375,5.32E-08
68,134.75,0.3535,5.32E-08
69,134.75,0.36325,5.32E-08
70,134.75,0.373,5.32E-08
71,134.75,0.38275,5.32E-08
72,134.75,0.3925,5.31E-08
73,134.75,0.40225,5.31E-08
74,134.75,0.412,5.31E-08
75,134.75,0.42175,5.31E-08
76,134.75,0.4315,5.31E-08
77,134.75,0.44125,5.30E-08
78,134.75,0.451,5.30E-08
79,134.75,0.46075,5.30E-08
80,134.75,0.4705,5.30E-08
81,134.75,0.48025,5.30E-08
82,134.75,0.49,5.30E-08
83,259.5,0.1,5.12E-08
84,259.5,0.10975,5.12E-08
85,259.5,0.1195,5.12E-08
86,259.5,0.12925,5.12E-08
87,259.5,0.139,5.11E-08
88,259.5,0.14875,5.11E-08
89,259.5,0.1585,5.11E-08
90,259.5,0.16825,5.11E-08
91,259.5,0.178,5.10E-08
92,259.5,0.18775,5.10E-08
93,259.5,0.1975,5.10E-08
94,259.5,0.20725,5.09E-08
95,259.5,0.217,5.09E-08
96,259.5,0.22675,5.09E-08
97,259.5,0.2365,5.09E-08
98,259.5,0.24625,5.08E-08
99,259.5,0.256,5.08E-08
100,259.5,0.26575,5.08E-08
101,259.5,0.2755,5.07E-08
102,259.5,0.28525,5.07E-08
103,259.5,0.295,5.07E-08
104,259.5,0.30475,5.06E-08
105,259.5,0.3145,5.06E-08
106,259.5,0.32425,5.06E-08
107,259.5,0.334,5.05E-08
108,259.5,0.34375,5.05E-08
109,259.5,0.3535,5.05E-08
110,259.5,0.36325,5.04E-08
111,259.5,0.373,5.04E-08
112,259.5,0.38275,5.03E-08
113,259.5,0.3925,5.03E-08
114,259.5,0.40225,5.03E-08
115,259.5,0.412,5.02E-08
116,259.5,0.42175,5.02E-08
117,259.5,0.4315,5.02E-08
118,259.5,0.44125,5.01E-08
119,259.5,0.451,5.01E-08
120,259.5,0.46075,5.01E-08
121,259.5,0.4705,5.00E-08
122,259.5,0.48025,5.00E-08
123,259.5,0.49,5.00E-08
124,384.25,0.1,4.89E-08
125,384.25,0.10975,4.88E-08
126,384.25,0.1195,4.88E-08
127,384.25,0.12925,4.88E-08
128,384.25,0.139,4.87E-08
129,384.25,0.14875,4.87E-08
130,384.25,0.1585,4.86E-08
131,384.25,0.16825,4.86E-08
132,384.25,0.178,4.86E-08
133,384.25,0.18775,4.85E-08
134,384.25,0.1975,4.85E-08
135,384.25,0.20725,4.84E-08
136,384.25,0.217,4.84E-08
137,384.25,0.22675,4.83E-08
138,384.25,0.2365,4.83E-08
139,384.25,0.24625,4.82E-08
140,384.25,0.256,4.82E-08
141,384.25,0.26575,4.82E-08
142,384.25,0.2755,4.81E-08
143,384.25,0.28525,4.81E-08
144,384.25,0.295,4.80E-08
145,384.25,0.30475,4.80E-08
146,384.25,0.3145,4.79E-08
147,384.25,0.32425,4.79E-08
148,384.25,0.334,4.78E-08
149,384.25,0.34375,4.77E-08
150,384.25,0.3535,4.77E-08
151,384.25,0.36325,4.76E-08
152,384.25,0.373,4.76E-08
153,384.25,0.38275,4.75E-08
154,384.25,0.3925,4.75E-08
155,384.25,0.40225,4.74E-08
156,384.25,0.412,4.74E-08
157,384.25,0.42175,4.73E-08
158,384.25,0.4315,4.73E-08
159,384.25,0.44125,4.72E-08
160,384.25,0.451,4.72E-08
161,384.25,0.46075,4.71E-08
162,384.25,0.4705,4.71E-08
163,384.25,0.48025,4.70E-08
164,384.25,0.49,4.70E-08
165,509,0.1,4.65E-08
166,509,0.10975,4.64E-08
167,509,0.1195,4.64E-08
168,509,0.12925,4.63E-08
169,509,0.139,4.63E-08
170,509,0.14875,4.62E-08
171,509,0.1585,4.62E-08
172,509,0.16825,4.61E-08
173,509,0.178,4.61E-08
174,509,0.18775,4.60E-08
175,509,0.1975,4.60E-08
176,509,0.20725,4.59E-08
177,509,0.217,4.59E-08
178,509,0.22675,4.58E-08
179,509,0.2365,4.57E-08
180,509,0.24625,4.57E-08
181,509,0.256,4.56E-08
182,509,0.26575,4.55E-08
183,509,0.2755,4.55E-08
184,509,0.28525,4.54E-08
185,509,0.295,4.53E-08
186,509,0.30475,4.53E-08
187,509,0.3145,4.52E-08
188,509,0.32425,4.51E-08
189,509,0.334,4.51E-08
190,509,0.34375,4.50E-08
191,509,0.3535,4.49E-08
192,509,0.36325,4.49E-08
193,509,0.373,4.48E-08
194,509,0.38275,4.47E-08
195,509,0.3925,4.47E-08
196,509,0.40225,4.46E-08
197,509,0.412,4.45E-08
198,509,0.42175,4.44E-08
199,509,0.4315,4.44E-08
200,509,0.44125,4.43E-08
201,509,0.451,4.42E-08
202,509,0.46075,4.42E-08
203,509,0.4705,4.41E-08
204,509,0.48025,4.40E-08
205,509,0.49,4.40E-08
206,633.75,0.1,4.41E-08
207,633.75,0.10975,4.40E-08
208,633.75,0.1195,4.40E-08
209,633.75,0.12925,4.39E-08
210,633.75,0.139,4.39E-08
211,633.75,0.14875,4.38E-08
212,633.75,0.1585,4.37E-08
213,633.75,0.16825,4.37E-08
214,633.75,0.178,4.36E-08
215,633.75,0.18775,4.35E-08
216,633.75,0.1975,4.35E-08
217,633.75,0.20725,4.34E-08
218,633.75,0.217,4.33E-08
219,633.75,0.22675,4.32E-08
220,633.75,0.2365,4.32E-08
221,633.75,0.24625,4.31E-08
222,633.75,0.256,4.30E-08
223,633.75,0.26575,4.29E-08
224,633.75,0.2755,4.29E-08
225,633.75,0.28525,4.28E-08
226,633.75,0.295,4.27E-08
227,633.75,0.30475,4.26E-08
228,633.75,0.3145,4.25E-08
229,633.75,0.32425,4.24E-08
230,633.75,0.334,4.23E-08
231,633.75,0.34375,4.23E-08
232,633.75,0.3535,4.22E-08
233,633.75,0.36325,4.21E-08
234,633.75,0.373,4.20E-08
235,633.75,0.38275,4.19E-08
236,633.75,0.3925,4.18E-08
237,633.75,0.40225,4.17E-08
238,633.75,0.412,4.16E-08
239,633.75,0.42175,4.16E-08
240,633.75,0.4315,4.15E-08
241,633.75,0.44125,4.14E-08
242,633.75,0.451,4.13E-08
243,633.75,0.46075,4.12E-08
244,633.75,0.4705,4.11E-08
245,633.75,0.48025,4.10E-08
246,633.75,0.49,4.10E-08
247,758.5,0.1,4.17E-08
248,758.5,0.10975,4.16E-08
249,758.5,0.1195,4.16E-08
