Iteration,E,nu,RMSE
1,1.00E-05,0.1,5.60E-08
2,1.00E-05,0.10975,5.60E-08
3,1.00E-05,0.1195,5.60E-08
4,1.00E-05,0.12925,5.60E-08
5,1.00E-05,0.139,5.60E-08
6,1.00E-05,0.14875,5.60E-08
7,1.00E-05,0.1585,5.60E-08
8,1.00E-05,0.16825,5.60E-08
9,1.00E-05,0.178,5.60E-08
10,1.00E-05,0.18775,5.60E-08
11,1.00E-05,0.1975,5.60E-08
12,1.00E-05,0.20725,5.60E-08
13,1.00E-05,0.217,5.60E-08
14,1.00E-05,0.22675,5.60E-08
15,1.00E-05,0.2365,5.60E-08
16,1.00E-05,0.24625,5.60E-08
17,1.00E-05,0.256,5.60E-08
18,1.00E-05,0.26575,5.60E-08
19,1.00E-05,0.2755,5.60E-08
20,1.00E-05,0.28525,5.60E-08
21,1.00E-05,0.295,5.60E-08
22,1.00E-05,0.30475,5.60E-08
23,1.00E-05,0.3145,5.60E-08
24,1.00E-05,0.32425,5.60E-08
25,1.00E-05,0.334,5.60E-08
26,1.00E-05,0.34375,5.60E-08
27,1.00E-05,0.3535,5.60E-08
28,1.00E-05,0.36325,5.60E-08
29,1.00E-05,0.373,5.60E-08
30,1.00E-05,0.38275,5.60E-08
31,1.00E-05,0.3925,5.60E-08
32,1.00E-05,0.40225,5.60E-08
33,1.00E-05,0.412,5.60E-08
34,1.00E-05,0.42175,5.60E-08
35,1.00E-05,0.4315,5.60E-08
36,1.00E-05,0.44125,5.60E-08
37,1.00E-05,0.451,5.60E-08
38,1.00E-05,0.46075,5.60E-08
39,1.00E-05,0.4705,5.60E-08
40,1.00E-05,0.48025,5.60E-08
41,1.00E-05,0.49,5.60E-08
42,0.00013475,0.1,5.36E-08
43,0.00013475,0.10975,5.36E-08
44,0.00013475,0.1195,5.36E-08
45,0.00013475,0.12925,5.36E-08
46,0.00013475,0.139,5.36E-08
47,0.00013475,0.14875,5.36E-08
48,0.00013475,0.1585,5.35E-08
49,0.00013475,0.16825,5.35E-08
50,0.00013475,0.178,5.35E-08
51,0.00013475,0.18775,5.35E-08
52,0.00013475,0.1975,5.35E-08
53,0.00013475,0.20725,5.35E-08
54,0.00013475,0.217,5.35E-08
55,0.00013475,0.22675,5.34E-08
